Time,Ground Truth,Estimation
1,300,256
1,300,1024
1,300,256
1,300,256
1,300,256
1,300,256
1,300,128
1,300,512
1,300,256
1,300,256
1,300,512
1,300,64
1,300,2048
1,300,128
1,300,512
1,300,1024
1,300,2048
1,300,256
1,300,512
1,300,256
1,300,128
1,300,1024
1,300,512
1,300,256
1,300,1024
1,300,1024
1,300,256
1,300,512
1,300,1024
1,300,256
